16.0,19.0,5.8125,-53.3902,-40.2705,1.1875,163.6875,0.050958037,0.0,1.0,0.06666667,0.53333336,0.0,0.14285715,1.0,0.0,0.0,0.050000
14.0,16.0,5.642857,-34.8671,-30.6361,1.0,488.85715,0.045944635,0.0,1.0,0.0,0.61538464,0.0,0.41666666,1.0,2.0,2.0,0.000000
22.0,19.0,5.0,-34.3624,-29.8323,1.0,406.45456,0.019588353,0.0,0.90909094,0.0,0.71428573,0.0,0.4,0.90909094,0.0,0.0,0.000000
10.0,14.0,8.7,-43.776,-28.579,1.0769231,193.1,0.07513834,0.0,0.9,0.0,0.11111111,0.0,0.0,1.0,0.0,0.0,0.071429
12.0,15.0,7.0833335,-37.9564,-30.1328,1.0714285,516.5,0.062127005,0.0,0.9166667,0.0,0.45454547,0.0,0.0,0.9166667,0.0,3.0,0.222222
25.0,23.0,5.16,-73.7612,-38.5139,1.0454545,372.24,0.05620427,0.0,1.0,0.0,0.5833333,0.08695652,0.2173913,1.0,3.0,2.0,0.200000
21.0,25.0,7.428571,-53.5975,-41.7895,1.3157895,492.1905,0.027446004,0.0,0.95238096,0.0,0.65,0.10526316,0.2631579,0.9411765,8.0,9.0,0.040000
18.0,14.0,6.111111,-40.321,-24.7495,1.0769231,414.1111,0.044070385,0.0,1.0,0.0,0.7058824,0.0,0.4375,1.0,2.0,0.0,0.066667
28.0,37.0,5.428571,-54.2632,-74.6587,1.2758621,461.5,0.024799148,0.0,0.9285714,0.0,0.5555556,0.0,0.30769232,0.92,3.0,0.0,0.375000
37.0,43.0,6.027027,-114.379,-95.4665,1.2285714,323.3784,0.055228792,0.0,1.0,0.027777778,0.5,0.08571429,0.25714287,1.0,4.0,5.0,0.390244
12.0,9.0,7.4166665,-36.6588,-22.5343,1.0,483.0,0.045559525,0.0,1.0,0.0,0.54545456,0.0,0.0,1.0,2.0,2.0,0.636364
17.0,18.0,6.7058825,-21.8234,-32.1746,1.0588236,455.29413,0.066635564,0.05882353,0.88235295,0.0,0.6875,0.13333334,0.26666668,0.9411765,2.0,0.0,0.000000
12.0,14.0,7.0833335,-28.4092,-21.2492,1.1666666,458.5,0.05026743,0.083333336,0.8333333,0.09090909,0.54545456,0.1,0.3,0.9166667,0.0,0.0,0.187500
17.0,15.0,3.7058823,-18.4321,-32.1677,1.0,537.58826,0.052208304,0.0,1.0,0.0625,0.4375,0.46666667,0.06666667,1.0,3.0,2.0,0.000000
6.0,6.0,4.8333335,-17.0847,-14.9009,1.0,357.66666,0.02330888,0.0,1.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.250000
14.0,19.0,4.5,-42.7421,-41.4583,1.0,364.2143,0.101657815,0.0,0.85714287,0.0,0.23076923,0.0,0.0,0.85714287,3.0,1.0,0.187500
17.0,18.0,8.0,-41.6276,-30.8649,1.125,333.88235,0.04228671,0.0,0.7647059,0.0625,0.4375,0.0,0.13333334,0.8235294,0.0,0.0,0.380952
16.0,28.0,6.875,-22.4774,-50.6617,1.0769231,400.875,0.04538137,0.0,0.9375,0.0,0.8666667,0.0,0.78571427,1.0,0.0,0.0,1.000000
21.0,16.0,4.6190476,-50.8042,-37.5624,1.1428572,343.61905,0.040116675,0.0,1.0,0.0,0.65,0.0,0.31578946,1.0,2.0,0.0,0.318182
21.0,22.0,6.285714,-48.6449,-37.7742,1.2941177,441.8095,0.03143698,0.0,1.0,0.0,0.8,0.0,0.5263158,1.0,2.0,2.0,0.120000
20.0,20.0,5.6,-31.3746,-31.9525,1.0526316,411.75,0.034638673,0.0,1.0,0.0,0.8947368,0.0,0.7222222,1.0,3.0,0.0,0.000000
8.0,11.0,6.875,-26.8927,-20.8037,1.0,382.375,0.04152983,0.0,1.0,0.0,0.42857143,0.0,0.0,1.0,0.0,2.0,0.000000
34.0,33.0,6.529412,-96.0775,-72.7994,1.1,404.67648,0.18508413,0.0,0.9117647,0.030303031,0.6060606,0.03125,0.25,0.9354839,3.0,2.0,0.162162
19.0,18.0,4.8421054,-45.181,-35.2414,1.2857143,399.94736,0.05397615,0.0,0.94736844,0.055555556,0.7777778,0.05882353,0.29411766,1.0,0.0,0.0,0.052632
